ردیف,درس,منبع,واحد,نوع,پیشنیاز,همنیاز
1,آمار و احتمال مهندسی,---,3,نظری,ریاضی عمومی 2,---
2,اصول طراحی پایگاه داده ها,https://codegeeks.ir/requirements/courses/data-base,3,نظری,ساختمان داده ها و الگوریتم ها,---
3,نظریه زبان‌ها و ماشین‌ها,---,3,نظری,ساختمان داده ها و الگوریتم ها,---
4,سیستم‌های عامل,---,3,نظری,معماری کامپیوتر,---
5,آزمایشگاه معماری کامپیوتر,---,1,عملی,معماری کامپیوتر - طبق مصوبه 14000304 گروه,---
6,آزمایشگاه مدارهای الکتریکی و الکترونیکی,---,1,عملی,---,مدارهای الکتریکی و الکترونیکی
7,زبان تخصصی,---,2,نظری,زبان انگلیسی,---
8,بسته انقلاب اسلامی,---,2,---,---,---

#title, نیمسال چهارم
#header, ردیف,درس,منبع,واحد,نوع,پیشنیاز,همنیاز
#type, number, string, link, number, string, string, string
#show, true, true, false, true, false, false, false
#date, 2022-09-26 09:00
#version, 1401
#description, نیمسال چهارم − ۱۸ واحد
