ردیف,درس,منبع,واحد,نوع,پیشنیاز,همنیاز
1,ریاضی عمومی 2,---,3,نظری,ریاضی عمومی 1,---
2,فیزیک 2,---,3,نظری,ریاضی عمومی 1,---
3,برنامه نویسی پیشرفته,---,3,نظری,مبانی کامپیوتر و برنامه نویسی,---
4,مدارهای منطقی,---,3,نظری,---,ریاضیات گسسته
5,تربیت بدنی 1,---,1,---,---,---
6,کارگاه برق,---,1,عملی,---,---
7,تربیت بدنی 2,---,1,---,تربیت بدنی 1,---
8,بسته مبانی نظری اسلام 2,---,2,---,بسته مبانی نظری اسلام 1,---

#title, نیمسال دوم
#header, ردیف,درس,منبع,واحد,نوع,پیشنیاز,همنیاز
#type, number, string, link, number, string, string, string
#show, true, true, false, true, false, false, false
#date, 2022-09-26 09:00
#version, 1401
#description, نیمسال دوم − ۱۷ واحد
